date,open,high,low,close,volume
2025-08-13,582.0852105080592,582.6445596248751,578.2696265108757,579.6680297851562,41209300
2025-08-14,577.610445725867,581.206252942872,577.2408180571425,579.2185668945312,45425000
2025-08-15,579.1286212694092,579.1686139695657,574.903538812632,576.6715087890625,49480200
2025-08-18,575.7725043332697,577.1009813081188,574.5738816999574,576.4417114257812,29831000
2025-08-19,575.7226021797385,575.8923882635952,567.5920130021344,568.620849609375,53752600
2025-08-20,567.6719298873941,567.7917860584612,558.1929284111997,565.2447509765625,76781100
2025-08-21,563.6965150159476,565.8340517424351,560.3304220145135,562.6278076171875,46436900
2025-08-22,564.0161431934172,573.3253587434433,562.617800852793,571.3076782226562,51502100
2025-08-25,569.7395313678815,572.6261385677973,568.5009160121044,569.6596069335938,34044700
2025-08-26,569.1702111117808,572.2565990617475,568.1413744854693,571.9469604492188,34103000
2025-08-27,570.9281643841576,573.7448453667379,569.7095453598557,572.825927734375,36927100
2025-08-28,573.4452115221324,577.3307218421304,571.7971586699575,576.4118041992188,46787900
2025-08-29,573.9945791596829,574.3642068270976,567.8816703337434,569.7395629882812,56030400
2025-09-02,560.660020123991,565.3145971818625,558.8920502137331,564.9650268554688,65876800
2025-09-03,568.5708579374373,571.0380295776428,566.0737527363494,569.409912109375,54230200
2025-09-04,570.0791126733634,574.9334704969435,568.3711317527417,574.5639038085938,47526300
2025-09-05,579.8178072667213,580.4470826304052,570.8682215867353,575.3929443359375,68342500
2025-09-08,577.7002859937904,580.1674576203714,577.1010051346319,578.19970703125,46371400
2025-09-09,578.9987754125199,580.26732437145,576.3718158469537,579.8378295898438,44007600
2025-09-10,583.0640457610823,583.0940402853914,577.8800531074673,580.027587890625,49308000
2025-09-11,582.5646323700341,584.2027479772381,580.9465131126315,583.4036865234375,44745800
2025-09-12,584.3625326071349,587.1792745116926,583.4236186389489,585.9806518554688,50745900
2025-09-15,587.7586344703801,591.1047310439144,587.6087837729755,590.994873046875,44360300
2025-09-16,591.9237591465338,592.1734696533504,589.8062189258886,590.4954223632812,36942100
2025-09-17,590.415535410039,591.0648071547686,583.6933476484554,589.3168334960938,69384800
2025-09-18,594.2211168753206,597.4474182598135,592.2734235847219,594.6306762695312,61069300
2025-09-19,596.6383253844207,599.3551464363971,595.159997727806,598.6559448242188,58196100
2025-09-22,597.739990234375,602.8699951171875,597.719970703125,602.2000122070312,57154800
2025-09-23,602.3699951171875,602.5700073242188,596.97998046875,598.2000122070312,64635500
2025-09-24,599.5800170898438,599.9000244140625,593.3599853515625,596.0999755859375,49850300
2025-09-25,592.2000122070312,595.1199951171875,588.5,593.530029296875,70920200
2025-09-26,594.3499755859375,596.2999877929688,591.0599975585938,595.969970703125,54337400
2025-09-29,599.1099853515625,602.0499877929688,597.4099731445312,598.72998046875,48332900
2025-09-30,598.4299926757812,600.7100219726562,596.0999755859375,600.3699951171875,46533800
2025-10-01,597.1699829101562,603.7899780273438,596.3400268554688,603.25,46899600
2025-10-02,607.0599975585938,607.1599731445312,602.9299926757812,605.72998046875,43765400
2025-10-03,606.510009765625,607.3300170898438,601.3900146484375,603.1799926757812,46482100
2025-10-06,608.4500122070312,609.3599853515625,605.969970703125,607.7100219726562,41962100
2025-10-07,609.02001953125,609.7100219726562,603.030029296875,604.510009765625,58209500
2025-10-08,605.4099731445312,611.75,605.260009765625,611.4400024414062,50629800
2025-10-09,611.47998046875,611.6099853515625,607.47998046875,610.7000122070312,45551000
2025-10-10,611.4000244140625,613.1799926757812,589.0499877929688,589.5,97614800
2025-10-13,599.6799926757812,602.9500122070312,597.22998046875,602.010009765625,65872600
2025-10-14,595.3099975585938,602.6900024414062,590.1300048828125,598.0,69203200
2025-10-15,604.010009765625,606.7000122070312,595.9299926757812,602.219970703125,62805500
2025-10-16,605.1099853515625,608.3099975585938,595.5,599.989990234375,70982000
2025-10-17,597.9500122070312,605.510009765625,596.3699951171875,603.9299926757812,72024900
2025-10-20,607.1400146484375,612.7999877929688,607.0700073242188,611.5399780273438,45761700
2025-10-21,611.6400146484375,612.719970703125,609.3200073242188,611.3800048828125,44538200
2025-10-22,610.8200073242188,611.4099731445312,599.739990234375,605.489990234375,61478800
2025-10-23,604.9099731445312,611.3699951171875,604.52001953125,610.5800170898438,42844300
2025-10-24,615.989990234375,618.4199829101562,615.1300048828125,617.0999755859375,47632500
2025-10-27,624.52001953125,628.5499877929688,624.030029296875,628.0900268554688,54098600
2025-10-28,630.3599853515625,634.6799926757812,629.25,632.9199829101562,61195700
2025-10-29,635.5900268554688,637.010009765625,630.25,635.77001953125,67422800
2025-10-30,632.1699829101562,633.5,625.9400024414062,626.0499877929688,61628600
2025-10-31,634.1699829101562,634.2000122070312,626.6900024414062,629.0700073242188,66305100
2025-11-03,635.1099853515625,635.8200073242188,629.8499755859375,632.0800170898438,37154300
2025-11-04,623.280029296875,626.9500122070312,618.4600219726562,619.25,63830800
2025-11-05,618.489990234375,626.5999755859375,617.2100219726562,623.280029296875,48688500
2025-11-06,621.7899780273438,622.0399780273438,610.2999877929688,611.6699829101562,72115100
2025-11-07,608.3099975585938,609.9500122070312,598.6699829101562,609.739990234375,81835400
2025-11-10,618.9199829101562,624.3099975585938,616.8900146484375,623.22998046875,55919900
2025-11-11,620.5700073242188,622.719970703125,617.52001953125,621.5700073242188,44868800
2025-11-12,624.8400268554688,624.8599853515625,617.8099975585938,621.0800170898438,47444400
2025-11-13,617.5399780273438,618.1199951171875,606.0800170898438,608.4000244140625,71333600
2025-11-14,599.5499877929688,613.3499755859375,597.1699829101562,608.8599853515625,80087300
2025-11-17,606.2999877929688,612.47998046875,599.8699951171875,603.6599731445312,63850400
2025-11-18,599.6199951171875,602.3099975585938,591.3400268554688,596.3099975585938,83327300
2025-11-19,597.0700073242188,606.1599731445312,594.5900268554688,599.8699951171875,73111500
2025-11-20,611.6199951171875,614.030029296875,584.75,585.6699829101562,117743200
2025-11-21,587.469970703125,596.97998046875,580.739990234375,590.0700073242188,103273300
